iter	Passed	Remaining
400	24848	18528
401	24895	18454
402	24940	18380
403	24991	18310
404	25042	18240
405	25101	18177
406	25157	18110
407	25205	18039
408	25249	17964
409	25310	17902
410	25371	17840
411	25423	17771
412	25471	17700
413	25525	17633
414	25584	17569
415	25638	17503
416	25679	17427
417	25738	17363
418	25791	17296
419	25836	17224
420	25865	17141
421	25897	17060
422	25947	16991
423	26007	16929
424	26069	16868
425	26123	16802
426	26177	16736
427	26235	16672
428	26286	16605
429	26329	16532
430	26376	16462
431	26430	16396
432	26472	16323
433	26520	16254
434	26565	16183
435	26608	16111
436	26664	16047
437	26712	15978
438	26763	15911
439	26812	15843
440	26873	15782
441	26929	15719
442	26980	15652
443	27042	15591
444	27093	15525
445	27138	15455
446	27195	15392
447	27245	15325
448	27294	15258
449	27331	15184
450	27381	15117
451	27424	15046
452	27477	14982
453	27541	14923
454	27601	14862
455	27653	14797
456	27716	14737
457	27780	14678
458	27839	14617
459	27900	14556
460	27943	14486
461	27995	14421
462	28049	14357
463	28097	14291
464	28151	14226
465	28193	14157
466	28248	14094
467	28297	14027
468	28344	13960
469	28392	13894
470	28444	13829
471	28504	13768
472	28563	13708
473	28613	13642
474	28658	13575
475	28717	13513
476	28775	13452
477	28829	13389
478	28878	13323
479	28921	13255
480	28979	13194
481	29031	13130
482	29088	13068
483	29128	12999
484	29191	12940
485	29238	12874
486	29281	12806
487	29329	12741
488	29379	12677
489	29427	12611
490	29480	12548
491	29546	12491
492	29603	12429
493	29648	12363
494	29713	12305
495	29770	12244
496	29817	12178
497	29881	12120
498	29927	12054
499	29980	11992
500	30043	11933
501	30108	11875
502	30161	11812
503	30209	11748
504	30270	11688
505	30319	11624
506	30369	11560
507	30419	11497
508	30468	11433
509	30523	11371
510	30574	11308
511	30632	11247
512	30687	11186
513	30735	11122
514	30799	11063
515	30852	11001
516	30901	10938
517	30952	10875
518	31001	10811
519	31060	10751
520	31123	10693
521	31176	10631
522	31227	10568
523	31281	10506
524	31322	10440
525	31370	10377
526	31427	10316
527	31484	10256
528	31530	10192
529	31583	10130
530	31652	10073
531	31728	10019
532	31781	9957
533	31833	9895
534	31892	9836
535	31951	9776
536	31998	9712
537	32050	9650
538	32114	9592
539	32164	9530
540	32212	9467
541	32264	9405
542	32318	9344
543	32368	9282
544	32419	9220
545	32469	9158
546	32525	9097
547	32573	9034
548	32631	8975
549	32700	8918
550	32761	8859
551	32826	8801
552	32880	8740
553	32935	8679
554	32992	8619
555	33049	8559
556	33112	8501
557	33155	8437
558	33207	8376
559	33265	8316
560	33313	8254
561	33359	8191
562	33405	8128
563	33465	8069
564	33513	8007
565	33558	7944
566	33587	7878
567	33637	7817
568	33689	7756
569	33752	7697
