iter	RMSE
267	104.7205455
268	104.7058858
269	104.6888075
270	104.6630258
271	104.6442205
272	104.6245837
273	104.6168496
274	104.5925715
275	104.5801251
276	104.5504884
277	104.5315115
278	104.5259455
279	104.4833889
280	104.48175
281	104.4787691
282	104.4239519
283	104.4137986
284	104.3926428
285	104.3622176
286	104.3349778
287	104.3292206
288	104.3099146
289	104.301892
290	104.2905059
291	104.2820055
292	104.2782448
293	104.2627425
294	104.2587452
295	104.2509016
296	104.2430195
297	104.2249649
298	104.2127552
299	104.2043881
300	104.1730403
301	104.1304936
302	104.1134702
303	104.1094594
304	104.0932504
305	104.074996
306	104.061209
307	104.0291947
308	104.018596
309	104.0110462
310	104.0073508
311	103.9644706
312	103.9564849
313	103.9492829
314	103.9425211
315	103.9246058
316	103.9047622
317	103.9008657
318	103.8965232
319	103.8722169
320	103.8631073
321	103.8180862
322	103.7977795
323	103.7789314
324	103.7573813
325	103.7328985
326	103.7240609
327	103.70606
328	103.6807696
329	103.6579573
330	103.6198987
331	103.6074439
332	103.5964175
333	103.5800396
334	103.5763961
335	103.5701697
336	103.5405004
337	103.5324747
338	103.5081844
339	103.5060951
340	103.496012
341	103.4947492
342	103.4819289
343	103.4763785
344	103.4529341
345	103.4117748
346	103.3976218
347	103.3851605
348	103.3654433
349	103.354858
350	103.3411295
351	103.3186607
352	103.3060382
353	103.2915135
354	103.264045
355	103.2369729
356	103.2220241
357	103.2049203
358	103.1958535
359	103.1948064
360	103.1923951
361	103.1672229
362	103.1481975
363	103.1382743
364	103.1226715
365	103.109136
366	103.0807477
367	103.0661225
368	103.0565583
369	103.040525
370	103.0248572
371	103.0042946
372	103.0022967
373	102.9835194
374	102.9638999
375	102.9363282
376	102.9294724
377	102.8856946
378	102.879574
379	102.8630496
380	102.8369902
381	102.8248397
382	102.8134247
383	102.8127218
384	102.8055951
385	102.7965559
386	102.7933557
387	102.769501
388	102.7600105
389	102.7504907
390	102.7336625
391	102.7142233
392	102.6985457
393	102.6931899
394	102.6808921
395	102.6709677
396	102.6475793
397	102.6414437
398	102.6384833
399	102.6112808
400	102.5756552
401	102.5750243
402	102.5737912
403	102.5644322
404	102.563836
405	102.5488235
406	102.5305619
407	102.5299949
408	102.514649
409	102.5074338
410	102.4804577
411	102.4578748
412	102.4573609
413	102.4334034
414	102.4020562
415	102.381371
416	102.3754872
417	102.3546084
418	102.3409618
419	102.3354202
420	102.3301711
421	102.3293314
422	102.2975952
423	102.2789645
424	102.2590483
425	102.2324142
426	102.2103952
427	102.2014978
428	102.1857528
429	102.1796879
430	102.174776
431	102.1426081
432	102.1374857
433	102.127299
434	102.1193642
435	102.0838549
436	102.0811457
437	102.0663391
438	102.0617148
439	102.0511849
440	102.030508
441	102.0004875
442	101.997062
443	101.9847402
444	101.9727608
445	101.9597674
446	101.9263442
447	101.9180665
448	101.8870091
449	101.8826532
450	101.8708298
451	101.8666911
452	101.8416231
453	101.8331988
454	101.8206217
455	101.7820608
456	101.7781132
457	101.7742478
458	101.7570392
459	101.7326298
460	101.7196125
461	101.7167932
462	101.7163248
463	101.6953906
464	101.6901077
465	101.6894714
466	101.6839559
467	101.6786903
468	101.6782617
469	101.6720704
470	101.6585821
471	101.6311272
472	101.6280503
473	101.6259863
474	101.6215329
475	101.6150317
476	101.6128912
477	101.5901238
478	101.5780676
479	101.5687131
480	101.5618779
481	101.5505399
482	101.5492921
483	101.5481873
484	101.517636
485	101.5150292
486	101.511257
487	101.4997351
488	101.4973326
489	101.4968309
490	101.4726739
491	101.4624165
492	101.4402438
493	101.4337484
494	101.4297408
495	101.4198563
496	101.3916661
497	101.3774651
498	101.3768941
499	101.3616036
500	101.3399672
501	101.306831
502	101.2934479
503	101.2916145
504	101.2797134
505	101.2604236
506	101.2200748
507	101.2037278
508	101.2020109
509	101.1912724
510	101.165731
511	101.1534785
512	101.1371852
513	101.1284649
514	101.1100403
515	101.0939365
516	101.0915896
517	101.0900014
518	101.0655307
519	101.0487845
520	101.0284735
521	101.004273
522	100.9941459
523	100.9846035
524	100.9744164
525	100.9697024
526	100.9450164
527	100.9260971
528	100.9157905
529	100.891229
530	100.8744869
531	100.8679809
532	100.8603146
533	100.8449276
534	100.8410542
535	100.8185363
536	100.816683
537	100.8108304
538	100.8066863
539	100.8047745
540	100.7889708
541	100.770773
542	100.7646886
543	100.7565084
544	100.7287157
545	100.7136337
546	100.7112709
547	100.709577
548	100.6850095
549	100.6693421
550	100.6550001
551	100.6513312
552	100.6480384
553	100.6138005
554	100.5986917
555	100.5848983
556	100.5831791
557	100.5807619
558	100.5636401
559	100.5507507
560	100.5493522
561	100.5446896
562	100.5414472
563	100.5141591
564	100.5138407
565	100.4966856
566	100.4963684
567	100.4817392
568	100.4797593
569	100.4594341
570	100.453246
571	100.4529446
572	100.4269839
573	100.4104966
574	100.4016017
575	100.4000816
576	100.3856508
577	100.3834379
578	100.3789431
579	100.3705686
580	100.3641259
581	100.3504398
582	100.3485629
583	100.3472206
584	100.335809
585	100.3216058
586	100.2997826
587	100.2854687
588	100.2772331
589	100.2716921
590	100.2595398
591	100.2571314
592	100.2500541
593	100.2491326
594	100.2297936
595	100.2095105
596	100.1919323
597	100.1889789
598	100.1750428
599	100.1687001
600	100.1676656
601	100.1662606
602	100.150755
603	100.1494559
604	100.1394633
605	100.1296585
606	100.1196944
607	100.1194374
608	100.1081267
609	100.0980283
610	100.0789417
611	100.077075
612	100.0698159
613	100.0695758
614	100.0646004
615	100.0521628
616	100.0424877
617	100.026625
618	100.0263972
619	100.014833
620	99.98440445
621	99.98360313
622	99.98168609
623	99.98146874
624	99.98113405
625	99.96696071
626	99.95238108
627	99.95209871
628	99.94273452
629	99.93412449
630	99.92663883
631	99.90375385
632	99.8985042
633	99.87852166
634	99.87705709
635	99.86965286
636	99.86499676
637	99.85946418
638	99.84523497
639	99.82279336
640	99.81186207
641	99.80248619
642	99.7833074
643	99.77105181
644	99.76432264
645	99.7626503
646	99.76246077
647	99.75049584
648	99.73244246
649	99.721679
650	99.71245391
651	99.70729311
652	99.69757385
653	99.6909947
654	99.67350525
655	99.67197088
656	99.65229369
657	99.63286635
658	99.62985198
659	99.62863051
660	99.61008224
661	99.59946563
662	99.59614941
663	99.59026664
664	99.57825535
665	99.57404438
666	99.56096287
667	99.54087688
668	99.54069871
669	99.5330266
670	99.53273355
671	99.51808066
672	99.49359211
673	99.47596592
674	99.46777608
675	99.46745263
676	99.46038877
677	99.45484949
678	99.44409757
679	99.4367789
680	99.43576865
681	99.43457644
682	99.43119283
683	99.41511118
684	99.39294149
685	99.38717754
686	99.37697532
687	99.37040245
688	99.367573
689	99.35578107
690	99.35113224
691	99.33990064
692	99.33967471
693	99.33943212
694	99.33920505
695	99.33600122
696	99.33435728
697	99.33047473
698	99.31713357
699	99.31215175
